No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
290,【スカッとする話】10年前、盲目の義父を私に押し付け社長令嬢の愛人と駆け落ちした夫 「貧乏ジジィもう逝ったか？w」 私「うん、遺産11億貰っちゃった」 夫「は？」結果w,https://www.youtube.com/watch?v=LebL5tuESUQ,2.5万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】10年前、盲目の義父を私に押し付け社長令嬢の愛人と駆け落ちした夫 「貧乏ジジィもう逝ったか？w」 私「うん、遺産11億貰っちゃった」 夫「は？」結果,https://www.youtube.com/watch?v=K05bRWGnqW8,100%
291,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w,https://www.youtube.com/watch?v=vyDCAcHPme8,8.6万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果,https://www.youtube.com/watch?v=1MZNyJiRpA8,100%
292,【スカッとする話】夫と姉が温泉旅行中、交通事故で半身不随に。夫「2人の面倒は宜しくな！」私「え？姉さんに頼みなよ！」直後、隣に姉が運ばれ叫んだ→だってその女は..,https://www.youtube.com/watch?v=24r-JE4M58Y,6.3万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,2回視聴,【スカッとする話】夫と姉が温泉旅行中、交通事故で半身不随に。夫「2人の面倒は宜しくな！」私「え？姉さんに頼みなよ！」直後、隣に姉が運ばれ叫んだ→だってその女は,https://www.youtube.com/watch?v=EU3EqDbgiQc,100%
293,【スカッとする話】夫の連れ子の娘と結婚挨拶に連れてきた婚約者「他人は今後一切関りませんw」私「分かりました」当日、他人全員で欠席した結果w,https://www.youtube.com/watch?v=rCNrL5SfFV8,2万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,2回視聴,【スカッとする話】夫の連れ子の娘と結婚挨拶に連れてきた婚約者「他人は今後一切関りませんw」私「分かりました」当日、他人全員で欠席した結果w,https://www.youtube.com/watch?v=e7zerXMRBNw,100%
294,【スカッとする話】孫の七五三祝いに行くと私だけ席がない...夫の連れ子「家族以外は立ってろw」夫「...帰るか」私「うん」直後、連れ子に大惨事がw,https://www.youtube.com/watch?v=zZV5oL3aIHY,3.7万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】孫の七五三祝いに行くと私だけ席がない   夫の連れ子「家族以外は立ってろw」夫「   帰るか」私「うん」直後、連れ子に大惨事が,https://www.youtube.com/watch?v=I1fCJmwv5aM,100%
295,【スカッとする話】私に婚約破棄を告げ美人な姉と結婚した元婚約者から結婚招待状「ブスでも姉の結婚式は祝えよｗ新郎は元婚約者だけどw」私「え？私に姉はいないけど？」夫「は？」実は...,https://www.youtube.com/watch?v=4Zso73ZN2XQ,4.6万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】私に婚約破棄を告げ美人な姉と結婚した元婚約者から結婚招待状「ブスでも姉の結婚式は祝えよｗ新郎は元婚約者だけどw」私「え？私に姉はいないけど？」夫「は？」実は,https://www.youtube.com/watch?v=l8-8ZGep2_s,100%
296,【スカッとする話】長男夫婦が他界し孫を育てる私に夫「あのガキども迷惑だったんだよなw」親友「アンタの金持ち旦那もらうわw」ボロボロの私に孫「ばあちゃん良かったね！だってあの人...」,https://www.youtube.com/watch?v=8a9QMDUv9kk,7.6万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】長男夫婦が他界し孫を育てる私に夫「あのガキども迷惑だったんだよなw」親友「アンタの金持ち旦那もらうわw」ボロボロの私に孫「ばあちゃん良かったね！だってあの人   」,https://www.youtube.com/watch?v=aV0ins2fafw,100%
297,【スカッとする話】離婚した翌日に元夫と遭遇すると、元夫「今日20歳の社長令嬢と再婚したw若くて最高の嫁だぜw」直後、現れた新しい嫁を見た私は大爆笑→私「ご愁傷さまw」実は...,https://www.youtube.com/watch?v=YU1qKVkm094,3.9万回視聴 / 3 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッとする話】離婚した翌日に元夫と遭遇すると、元夫「今日20歳の社長令嬢と再婚したw若くて最高の嫁だぜw」直後、現れた新しい嫁を見た私は大爆笑→私「ご愁傷さまw」実は,https://www.youtube.com/watch?v=GzndWl7nPNM,100%
298,【スカッと総集編】私が総資産19億と知らず子供の産めない私を捨て再婚した夫「子供も産めない欠陥品とは離婚ｗ家と車も俺が貰うからｗ」私「いいよ！はい、離婚届け！ 」→翌日、涙を流した夫から鬼電がw,https://www.youtube.com/watch?v=DdmscVg2GO0,14万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッと】私が総資産19億と知らず子供の産めない私を捨て再婚した夫「欠陥品とは離婚ｗ家と車も俺が貰うｗ」私「いいよ！ 」→翌日、涙を流した夫から鬼電が,https://www.youtube.com/watch?v=y8x7SoRM9mk,89%
299,【スカッとする話】10億の資産を築いた社長の夫が亡くなり葬儀後、長男嫁「遺産10億と社長の座は、長男である旦那が相続しますw」それを聞いた私は大爆笑w→だって夫は…【修羅場】,https://www.youtube.com/watch?v=3-5Li1E7eCQ,4.1万回視聴 / 3 年前,Jay Connor,https://www.youtube.com/channel/UCy819L_3O_Dd0-bKp9dHsSw,2 年前,0 回視聴,【スカッとする話】10億の資産を築いた社長の夫が亡くなり葬儀後、長男嫁「遺産10億と社長の座は、長男である旦那が相続しますw」それを聞いた私は大爆笑w→だって夫は…【修羅場】,https://www.youtube.com/watch?v=p83vU-ZICuM,100%
300,【スカッとする話】がん末期の母を置いて海外旅行に行った長男夫婦「ババァの介護は頼んだわｗ」翌日、母が笑顔で行動開始すると長男夫婦は帰らぬ人に...【修羅場】,https://www.youtube.com/watch?v=uBvDuF4U2Aw,4.8万回視聴 / 3 年前,Jay Connor,https://www.youtube.com/channel/UCy819L_3O_Dd0-bKp9dHsSw,2 年前,0 回視聴,【スカッとする話】がん末期の母を置いて海外旅行に行った長男夫婦「ババァの介護は頼んだわｗ」翌日、母が笑顔で行動開始すると長男夫婦は帰らぬ人に   【修羅場】,https://www.youtube.com/watch?v=KXZ7s6-K4kQ,100%
301,【スカッとする話】有名大学に合格した息子にエリート夫「学費で俺の車買ったw行きたきゃ自分の金で行けｗ」息子「...はい」息子が密かに復讐を計画→私も全力で協力した結果,https://www.youtube.com/watch?v=gidrazFEDug,5.9万回視聴 / 2 年前,Jay Connor,https://www.youtube.com/channel/UCy819L_3O_Dd0-bKp9dHsSw,2 年前,0 回視聴,【スカッとする話】有名大学に合格した息子にエリート夫「学費で俺の車買ったw行きたきゃ自分の金で行けｗ」息子「   はい」息子が密かに復讐を計画→私も全力で協力した結果,https://www.youtube.com/watch?v=h9jNvCm5ZMQ,100%
302,【スカッとする話】長男嫁「お義母さん今月の仕送り10万まだ！？」怒り狂った長男嫁から鬼電が...私「長男は他界しましたのでもう他人に仕送りできません」長男嫁「はい？」実は...【修羅場】,https://www.youtube.com/watch?v=Zj2veQRj8wE,9.4万回視聴 / 3 年前,Jay Connor,https://www.youtube.com/channel/UCy819L_3O_Dd0-bKp9dHsSw,2 年前,0 回視聴,【スカッとする話】長男嫁「お義母さん今月の仕送り10万まだ！？」怒り狂った長男嫁から鬼電が   私「長男は他界しましたのでもう他人に仕送りできません」長男嫁「はい？」実は   【修羅場】,https://www.youtube.com/watch?v=E-6YGQ5Iar8,100%
303,【スカッとする話】夫の連れ子の娘と暮らし始めて1年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は...」そう言って差し出された手には...,https://www.youtube.com/watch?v=BKC9CbFIESk,5.2万回視聴 / 3 年前,Jodie Mcdowell,https://www.youtube.com/channel/UCzWXB2jIc12Zjemu59x5Y1A,1 年前,0 回視聴,【スカッとする話】夫の連れ子の娘と暮らし始めて1年。しかし、全くなつく気配がない…夫が海外出張に行った日に娘が初めて話しかけてきた。娘「お母さん、実は   」そう言って差し出された手には【修羅,https://www.youtube.com/watch?v=9UfC6qfOAJg,98%
304,【スカッとする話】35年間連れ添った夫と離婚すると夫「家も貯金も退職金も俺が貰う！お前は施設でも入れw」私「承知しました…」1億の超高級施設に入った結果w,https://www.youtube.com/watch?v=FYnOSSomStE,4.9万回視聴 / 2 年前,Joe Perry,https://www.youtube.com/channel/UCUDLjmHB0rs4nKGT_byCePg,2 年前,0 回視聴,【スカッとする話】35年間連れ添った夫と離婚すると夫「家も貯金も退職金も俺が貰う！お前は施設でも入れw」私「承知しました…」1億の超高級施設に入った結果w,https://www.youtube.com/watch?v=WFoqmAQR0hA,100%
305,【スカッとする話】夫婦の結婚記念日に財布を持たず便乗する長男嫁「今回もゴチになりますw」夫「今回は俺の両親も来るよw」私「どうぞ、今日で最後なので」嫁・夫「は？」,https://www.youtube.com/watch?v=og8_GjJd8PU,1.3万回視聴 / 3 年前,Joe Perry,https://www.youtube.com/channel/UCUDLjmHB0rs4nKGT_byCePg,2 年前,0 回視聴,【スカッとする話】夫婦の結婚記念日に財布を持たず便乗する長男嫁「今回もゴチになりますw」夫「今回は俺の両親も来るよw」私「どうぞ、今日で最後なので」嫁・夫「は？」,https://www.youtube.com/watch?v=kOJVUmXpDFs,100%
306,【スカッとする話】娘の結婚式後、礼服を投げつけた夫「おい奴隷！クリーニング出しとけ！」なぜかポケットに記入済みの離婚届…私「出せって事だし出しとこ！」速役所に提出し引っ越した結果w,https://www.youtube.com/watch?v=uYHfF8rKZnA,16万回視聴 / 2 年前,Joe Perry,https://www.youtube.com/channel/UCUDLjmHB0rs4nKGT_byCePg,2 年前,0 回視聴,【スカッとする話】娘の結婚式後、礼服を投げつけた夫「おい奴隷！クリーニング出しとけ！」なぜかポケットに記入済みの離婚届…私「出せって事だし出しとこ！」速役所に提出し引っ越した結果w,https://www.youtube.com/watch?v=f-oxtLY5Fcc,100%
307,【スカッとする話】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ...,https://www.youtube.com/watch?v=GZtalGoS6qE,11万回視聴 / 3 年前,Juire Danton,https://www.youtube.com/channel/UC7-EH8b52VBucWj4cIIvOgg,2 年前,0 回視聴,【スカッとする話】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ   【修羅場】,https://www.youtube.com/watch?v=atJaaofNes4,100%
308,【スカッと】長男夫婦がお盆に帰省し私が店を予約すると長男嫁「何この汚い店w年金生活の貧乏ババァじゃ仕方ないかw」直後、普段温厚な夫→夫「調子乗るなよガキが」長男嫁「え？」,https://www.youtube.com/watch?v=LXxfsTZeuZU,11万回視聴 / 2 年前,Julia Baturin,https://www.youtube.com/channel/UCc_D9dXz9N4TBoWURdRZ9Lg,1 か月前,24回視聴,長男夫婦がお盆に帰省し私が店を予約すると長男嫁「何この汚い店w年金生活の貧乏ババアじゃ仕方ないかw」→直後、普段温厚な夫「調子乗るなよガキが」長男嫁「え？」,https://www.youtube.com/watch?v=xto1lEkbOl4,98%
309,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w,https://www.youtube.com/watch?v=vyDCAcHPme8,8.6万回視聴 / 2 年前,Justice Gibson,https://www.youtube.com/channel/UCB_S_Dk5yPlmw43S7RpQxDw,1 年前,0 回視聴,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w【修羅場】,https://www.youtube.com/watch?v=aZwlCyPOXQ8,100%
